Norwegian,English
jeg,I
det,the
er,is
du,you
ikke,not
en,one
og,and
i,in
har,hair
vi,we
på,on
å,to
til,to
deg,yourself
med,with
meg,me
han,he
for,for
hva,what
som,as
at,that
så,so
kan,can
de,the
den,it
var,our
vil,want
om,about
av,of
men,but
skal,shall
et,somewhere
ja,yes
her,here
hun,she
bare,just
dette,this
dere,you
må,must
noe,something
nei,no
vet,know
nå,now
ham,him
min,my
ut,out
kom,arrive
da,then
din,your
oss,us
ha,have
gjør,do
hvor,where
fra,from
være,be
noen,some
der,there
dem,them
igjen,again
se,see
ta,toe
ville,wanted
kommer,arrive
alle,everyone
går,yesterday
alt,everything
tror,believe
hvorfor,why
hvordan,how
få,few
gjøre,do
hvis,if
opp,up
seg,themselves
ingen,no
hadde,had
sa,so
bra,Good
henne,her
får,sheep
når,when
blir,becomes
takk,thanks
gå,go
eller,or
bli,become
si,say
ser,look
hvem,whose
la,let
hei,Hi
litt,slightly
inn,inside
etter,after
ble,became
denne,this
kanskje,maybe
tilbake,back
aldri,never
vel,well
ok,ok
skulle,should have
jo,Yes
trenger,need
to,two
sier,says
kunne,may
vært,been
mer,more
også,also
før,for
over,above
man,mane
tar,take
mye,a lot
selv,self
god,good
gi,give
nok,enough
mitt,my
hans,his
sammen,together
gjorde,did
dag,day
enn,than
gang,passage
andre,second
vær,weather
fikk,got
ned,down
sett,set
mine,mine
greit,reduce
siden,since
ditt,yours
helt,hero
mot,against
år,year
faen,fuck
hele,all
deres,their
snakke,talk
komme,come
godt,well
ved,by
fordi,because
gjort,done
dra,drag
rett,straight
liker,liken
mann,man
folk,folk
alltid,always
mener,believe
mange,many
dine,your
sånn,like that
sant,true
ting,thing
tok,took
vent,wait
vår,our
hjem,home
tre,three
finne,find
unnskyld,Pardon
beklager,sorry
veldig,very
hold,hold
burde,should
tid,time
ingenting,nothing
trodde,believed
uten,without
hit,here
bedre,better
gikk,walked
hjelpe,help
morgen,morning
livet,life
akkurat,just
vite,know
kveld,evening
visste,knew
virkelig,really
elsker,lover
skjer,happens
slik,such
lenge,long
snakker,speaks
sir,sir
kjenner,know
sin,its
samme,same
står,stands
far,father
ute,out
første,first
hjelp,help
feil,error
snill,kind
død,death
herregud,Oh my God
forstår,understand
disse,these
pappa,dad
gir,gear
siste,last
hennes,her
mamma,mom
helvete,hell
fant,found
én,one
eneste,only
hør,hear
under,under
sted,place
blitt,become
barn,children
vei,road
bør,load
klar,clear
holder,holder
heter,named
skjedde,happened
slutt,end
visst,of
prøver,trial
penger,money
drepe,kill
fint,nice
hallo,hello
tro,believe
mr.,Mr.
husker,remember
drar,is
døde,died
borte,gone
mor,tender
redd,afraid
snart,soon
rundt,round
beste,best
holde,hold
faren,danger
like,like
finner,finds
våre,our
høre,hear
bilen,car
flere,several
verden,world
tatt,taken
hver,each
gud,God
venn,friend
annet,second
hos,at
hører,listen
måtte,had to
veien,road
fortelle,tell
bort,over
først,first
inne,in
fått,received
glad,happy
ga,go
gjennom,through
heller,rather
stor,big
betyr,means
liv,life
tiden,time
lei,sorry
sikker,secure
neste,next
mannen,man
sikkert,certainly
lenger,farther
fortsatt,still
annen,other
gjerne,happily
hørte,heard
unna,away
nye,new
sagt,said
fem,five
vekk,away
alene,alone
hatt,hat
snakket,talked
flott,great
derfor,therefore
store,big
skjønner,understand
føler,feel
menn,men
klart,clear
ny,new
liten,small
jobber,job
mr,MR
dø,die
håper,hope
jævla,damn
grunn,superficial
ennå,yet
klarer,clear
dager,days
tenkte,thought
politiet,police
byen,city
ganger,times
pengene,money
jobb,job
langt,far
venner,friends
sitt,its
faktisk,actual
nesten,almost
drepte,killed
huset,house
jobben,job
kjære,dear
minutter,minutes
gamle,old
hjemme,at home
venter,wait
ellers,else
dagen,day
vårt,our
hverandre,each other
fire,four
begge,both
navn,name
dit,there
moren,the mother
gutt,boy
be,pray
bak,behind
hørt,heard
natt,night
fort,fast
nettopp,just
familien,family
ferdig,finished
herfra,from here
drept,killed
virker,works
tenk,think
mens,while
stedet,place
møte,Meeting
stille,silent
ei,a
dollar,dollars
lille,little
engang,once
ett,one
måte,manner
dårlig,bad
hyggelig,nice
sine,their
hodet,head
funnet,found
orden,order
synes,think
gode,good
ganske,pretty
par,couple
senere,future
begynner,begins
galt,hog
ba,pray
prøve,try
slå,hit
tenker,thinker
vanskelig,difficult
vise,show
lkke,lk
ringer,rings
slags,kind
ti,ten
allerede,already
ønsker,wishes
del,share
fortell,tell
gått,walked
hvilken,which
prøvde,tried
pokker,damn
tenke,imagine
saken,case
skyld,fault
klare,manage
gammel,old
bruke,use
uansett,regardless
slipp,release
mistet,lost
viktig,important
spør,traces
sånt,such
helst,preferably
jente,girl
øyeblikk,moment
tenkt,thought
spørsmål,questions
mellom,between
bor,drill
mi,mi
dør,door
egen,own
kvinne,woman
ligger,is located
ord,word
stopp,stop
dro,look
stemmer,votes
rolig,calm
a,a
nytt,news
ber,pray
fortalte,told
riktig,correct
all,all
fin,fine
kommet,arrived
stå,stand
lett,easy
timer,hour
vente,wait
redde,save
spise,eat
høres,sounds
treffe,hit
setter,set
mennesker,human beings
jenta,girl
sitter,seat
sønn,son
legg,lay
slapp,relax
velkommen,welcome
spiller,player
bryr,care
ringe,ring
syns,Seems
skje,happen
kaptein,captain
fyr,guy
mat,food
sette,set
john,John
jobbet,work
fyren,guy
di,
leve,living
tak,roof
enda,though
seks,six
selvsagt,of course
egentlig,really
bruker,User
mulig,possible
gutten,boy
åpne,to open
finnes,exists
jack,jack
best,best
lang,long
problem,problem
full,full
problemer,problem
ses,sess
videre,further
navnet,name
lever,liver
holdt,gave
imot,against
utenfor,outside
spørre,ask
utrolig,incredible
satt,sat
kone,wife
dreper,kill
sent,late
tom,empty
fins,exist
nede,down
oppe,upstairs
ring,ring
kjeft,jaw
lar,thigh
skjedd,happened
begynte,began
kona,wife
ringte,called
hus,House
hater,hate
mindre,less
hente,get
fantastisk,fantastic
hjelper,helper
new,new
fremdeles,still
barna,kids
gutter,boys
jobbe,work
handler,war
mest,most
spille,play
selvfølgelig,of course
stort,large
fram,forward
kaller,calls
ro,row
vennen,friend
glem,forget
rommet,space
kjøre,drive
øynene,eyes
tusen,thousand
vann,water
forsiktig,careful
sjanse,chance
skolen,the school
kjører,driving
løp,run
gal,crazy
lover,law
herr,sir
gangen,time
resten,rest
side,page
pass,passport
fred,peace
sønnen,son
lage,make
plass,place
familie,family
sannheten,truth
ekte,genuine
kjent,known
fri,free
uke,week
foran,in front of
våpen,guns
fast,solid
an,phrase
lite,small
broren,brother
måneder,months
landet,country
snakk,talk
s,S
hvert,each
driver,driver
tur,trip
tidligere,previously
kvinner,women
the,The
ønske,desire
prøv,try
bil,car
valg,choice
legge,lay
bror,brother
føles,feels
vondt,hurt
miss,miss
straks,soon
kjøpe,purchase
gitt,provided
stund,while
laget,species
jøss,yea
rom,room
pa,on
tidlig,early
begynne,begin
idé,idea
fly,fly
mente,thought
telefonen,phone
time,hour
tide,time
passer,fit
hendene,hands
blod,blood
vis,show
perfekt,perfect
kjente,knew
sint,angry
lære,learn
rart,weird
verre,worse
dritt,shit
sove,sleep
betale,pay
svar,answers
svært,very
sam,together
frank,frank
gift,married
gjelder,laches
ventet,waited
sendte,sent
finn,find
lager,storage
altså,therefore
fengsel,prison
sist,last
unge,young
likevel,Nevertheless
ille,bad
uker,week
fortsett,continue
viser,shows
stoppe,stop
klarte,was able to
hånd,hand
forteller,says
kjærlighet,love
aner,idea
slutte,quit
lov,law
nær,near
morsomt,fun
dr,dr
elsket,loved
sender,pass
hardt,hard
lykke,happiness
sitte,sit
middag,dinner
historie,history
skrive,write
beskytte,protect
lyst,want
dum,stupid
fare,danger
spiser,eats
sak,case
forstå,understand
reise,travel
slo,struck
leter,looking
sex,sex
måten,way
likte,liked
millioner,millions
damer,ladies
jenter,girls
kjør,drive
fall,downfall
spurte,asked
fortalt,told
synd,sin
skikkelig,decent
frem,forward
reddet,saved
idiot,idiot
brukte,used
herrer,gentlemen
york,york
trengte,needed
små,small
følge,follow
følger,following
kaffe,coffee
sende,send
pris,price
problemet,problem
vakker,beautiful
foregår,takes place
syk,sick
skyte,shoot
live,animate
barnet,child
prate,talk
ærlig,honest
farlig,dangerous
bruk,use
lot,lot
bo,live
drikke,drink
svarte,black
gratulerer,congratulations
land,country
større,bigger
flink,good
gifte,marry
rette,correct
legger,leg
fortsette,continue
avtale,deal
nummer,number
slipper,drop
datteren,daughter
kvelden,evening
lese,read
henter,retrieving
døra,door
lurer,wonder
slår,hits
jaså,yes
gøy,fun
bekymret,worried
ofte,often
herre,master
endelig,finally
ansiktet,the face
masse,a lot
åtte,eight
hjertet,heart
charlie,charlie
l,l
foreldrene,parents
døren,door
kun,only
sto,stood
betaler,Pays
ung,young
skjøt,joint
datter,daughter
egne,fit
skade,Damage
absolutt,absolutely
traff,hit
enkelt,single
hent,get
klokka,the clock
slippe,let go
forklare,explain
stole,trust
skutt,shot
venstre,left
råd,advice
kontakt,contact
krig,war
annerledes,different
verdt,worth
skrev,wrote
krigen,war
eget,own
stikke,sting
antar,assume
dr.,Dr.
ben,leg
vant,won
ønsket,wished
stikker,stick
hvite,white
